Paper Title,Number of Reviews,Average Review Length,Review Texts,Scores,Rebuttal Present,Rebuttal Text,Authors,Decision
Explicitly Maintaining Diverse Playing Styles in Self-Play,0,0,[],[],False,N/A,"['Yuan Liu', 'Ruimin Shen', 'Miqing Li', 'Yingfeng Chen', 'Juan Zou', 'Changjie Fan']",N/A
Toward Learning Geometric Eigen-Lengths Crucial for Robotic Fitting Tasks,0,0,[],[],False,N/A,"['Yijia Weng', 'Kaichun Mo', 'Ruoxi Shi', 'Yanchao Yang', 'Leonidas Guibas']",N/A
LiftedCL: Lifting Contrastive Learning for Human-Centric Perception,0,0,[],[],False,N/A,"['Ziwei Chen', 'Qiang Li', 'Xiaofeng Wang', 'Wankou Yang']",N/A
Individual Privacy Accounting with Gaussian Differential Privacy,0,0,[],[],False,N/A,"['Antti Koskela', 'Marlon Tobaben', 'Antti Honkela']",N/A
Evolving Populations of Diverse RL Agents with MAP-Elites,0,0,[],[],False,N/A,"['Thomas PIERROT', 'Arthur Flajolet']",N/A
Implicit Bias in Leaky ReLU Networks Trained on High-Dimensional Data ,0,0,[],[],False,N/A,"['Spencer Frei', 'Gal Vardi', 'Peter Bartlett', 'Nathan Srebro', 'Wei Hu']",N/A
Learning Test Time Augmentation with Cascade Loss Prediction,0,0,[],[],False,N/A,"['Siyang Pan', 'Jiaqian Yu', 'Dongwook Lee', 'Qiang Wang', 'ChangBeom Park', 'ByungIn Yoo']",N/A
Adaptive Computation with Elastic Input Sequence,0,0,[],[],False,N/A,"['Fuzhao Xue', 'Valerii Likhosherstov', 'Anurag Arnab', 'Neil Houlsby', 'Yi Tay', 'Mostafa Dehghani', 'Yang You']",N/A
Optimizing Data-Flow in Binary Neural Networks,0,0,[],[],False,N/A,"['Lorenzo Vorabbi', 'Davide Maltoni', 'Stefano Santi']",N/A
Gray-Box Gaussian Processes for Automated Reinforcement Learning,0,0,[],[],False,N/A,"['Gresa Shala', 'André Biedenkapp', 'Frank Hutter', 'Josif Grabocka']",N/A
Protein Sequence and Structure Co-Design with Equivariant Translation,0,0,[],[],False,N/A,"['Chence Shi', 'Chuanrui Wang', 'Jiarui Lu', 'Bozitao Zhong', 'Jian Tang']",N/A
SGD Through the Lens of Kolmogorov Complexity,0,0,[],[],False,N/A,['Gregory Schwartzman'],N/A
Learning in temporally structured environments,0,0,[],[],False,N/A,"['Matt Jones', 'Tyler R. Scott', 'Mengye Ren', 'Gamaleldin Fathy Elsayed', 'Katherine Hermann', 'David Mayo', 'Michael Curtis Mozer']",N/A
Identifying Phase Transition Thresholds of Permuted Linear Regression via Message Passing,0,0,[],[],False,N/A,"['Hang Zhang', 'Ping Li']",N/A
RandProx: Primal-Dual Optimization Algorithms with Randomized Proximal Updates,0,0,[],[],False,N/A,"['Laurent Condat', 'Peter Richtárik']",N/A
Preserving Pre-trained Features Helps Calibrate Fine-tuned Language Models,0,0,[],[],False,N/A,"['Guande He', 'Jianfei Chen', 'Jun Zhu']",N/A
A Hierarchical Bayesian Approach to Federated Learning,0,0,[],[],False,N/A,"['Minyoung Kim', 'Timothy Hospedales']",N/A
Neural Representations in Multi-Task Learning guided by Task-Dependent Contexts,0,0,[],[],False,N/A,"['Santiago Galella', 'Salva Ardid']",N/A
MCTransformer: Combining Transformers And Monte-Carlo Tree Search For Offline Reinforcement Learning,0,0,[],[],False,N/A,"['Gur Yaari', 'Lior Rokach', 'Rami Puzis', 'Gilad Katz']",N/A
One-Step Estimator for Permuted Sparse Recovery,0,0,[],[],False,N/A,"['Hang Zhang', 'Ping Li']",N/A
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,0,0,[],[],False,N/A,"['Yi Tay', 'Mostafa Dehghani', 'Samira Abnar', 'Hyung Won Chung', 'William Fedus', 'Jinfeng Rao', 'Sharan Narang', 'Vinh Q. Tran', 'Dani Yogatama', 'Donald Metzler']",N/A
Guarded Policy Optimization with Imperfect Online Demonstrations,0,0,[],[],False,N/A,"['Zhenghai Xue', 'Zhenghao Peng', 'Quanyi Li', 'Zhihan Liu', 'Bolei Zhou']",N/A
Fast Nonlinear Vector Quantile Regression,0,0,[],[],False,N/A,"['Aviv A. Rosenberg', 'Sanketh Vedula', 'Yaniv Romano', 'Alexander Bronstein']",N/A
Multi Task Learning of Different Class Label Representations for Stronger Models,0,0,[],[],False,N/A,"['Judah A Goldfeder', 'Boyuan Chen', 'Hod Lipson']",N/A
On the Existence of a Trojaned Twin Model,0,0,[],[],False,N/A,"['Songzhu Zheng', 'Yikai Zhang', 'Weimin Lyu', 'Mayank Goswami', 'Anderson Schneider', 'Yuriy Nevmyvaka', 'Haibin Ling', 'Chao Chen']",N/A
On Information Maximisation in Multi-View Self-Supervised Learning,0,0,[],[],False,N/A,"['Borja Rodríguez Gálvez', 'Arno Blaas', 'Xavier Suau', 'Jason Ramapuram', 'Dan Busbridge', 'Luca Zappella']",N/A
Leveraging Large Language Models for Multiple Choice Question Answering,0,0,[],[],False,N/A,"['Joshua Robinson', 'David Wingate']",N/A
Learning with Logical Constraints but without Shortcut Satisfaction,0,0,[],[],False,N/A,"['Zenan Li', 'Zehua Liu', 'Yuan Yao', 'Jingwei Xu', 'Taolue Chen', 'Xiaoxing Ma', 'Jian L\\""{u}']",N/A
Certified Training: Small Boxes are All You Need,0,0,[],[],False,N/A,"['Mark Niklas Mueller', 'Franziska Eckert', 'Marc Fischer', 'Martin Vechev']",N/A
Counterfactual Generation Under Confounding,0,0,[],[],False,N/A,"['Abbavaram Gowtham Reddy', 'Saloni Dash', 'Amit Sharma', 'Vineeth N. Balasubramanian']",N/A
Regression with Label Differential Privacy,0,0,[],[],False,N/A,"['Badih Ghazi', 'Pritish Kamath', 'Ravi Kumar', 'Ethan Leeman', 'Pasin Manurangsi', 'Avinash Varadarajan', 'Chiyuan Zhang']",N/A
Hierarchical Abstraction for Combinatorial Generalization in Object Rearrangement,0,0,[],[],False,N/A,"['Michael Chang', 'Alyssa Li Dayan', 'Franziska Meier', 'Thomas L. Griffiths', 'Sergey Levine', 'Amy Zhang']",N/A
SRBGCN: Tangent space-Free Lorentz Transformations for Graph Feature Learning,0,0,[],[],False,N/A,"['Abdelrahman Mostafa', 'Wei Peng', 'Guoying Zhao']",N/A
Transfer NAS with Meta-learned Bayesian Surrogates,0,0,[],[],False,N/A,"['Gresa Shala', 'Thomas Elsken', 'Frank Hutter', 'Josif Grabocka']",N/A
Mitigating the Limitations of Multimodal VAEs with Coordination-Based Approach,0,0,[],[],False,N/A,"['Masahiro Suzuki', 'Yutaka Matsuo']",N/A
Incompatibility between Deterministic Policy and Generative Adversarial Imitation Learning,0,0,[],[],False,N/A,"['Wanying Wang', 'Yirui Zhou', 'Chaomin Shen', 'Yangchun Zhang', 'Jian Tang', 'Zhiyuan Xu', 'Yaxin Peng']",N/A
FiD-Light: Efficient and Effective Retrieval-Augmented Text Generation,0,0,[],[],False,N/A,"['Sebastian Hofstätter', 'Jiecao Chen', 'Karthik Raman', 'Hamed Zamani']",N/A
Contrastive Learning of Molecular Representation with Fragmented Views,0,0,[],[],False,N/A,"['Seojin Kim', 'Jaehyun Nam', 'Junsu Kim', 'Hankook Lee', 'Sungsoo Ahn', 'Jinwoo Shin']",N/A
Sharp Convergence Analysis of Gradient Descent for Deep Linear Neural Networks,0,0,[],[],False,N/A,"['Hongru Zhao', 'Jinchao Xu']",N/A
Selective Frequency Network for Image Restoration,0,0,[],[],False,N/A,"['Yuning Cui', 'Yi Tao', 'Zhenshan Bing', 'Wenqi Ren', 'Xinwei Gao', 'Xiaochun Cao', 'Kai Huang', 'Alois Knoll']",N/A
Contextualized Generative Retrieval,0,0,[],[],False,N/A,"['Hyunji Lee', 'JaeYoung Kim', 'Hoyeon Chang', 'Hanseok Oh', 'Sohee Yang', 'vladimir karpukhin', 'Yi Lu', 'Minjoon Seo']",N/A
Mirror Training for Input Convex Neural Network,0,0,[],[],False,N/A,"['Jiaqi Wu', 'Yang Weng']",N/A
Scaling Up Probabilistic Circuits by Latent Variable Distillation,0,0,[],[],False,N/A,"['Anji Liu', 'Honghua Zhang', 'Guy Van den Broeck']",N/A
Oscillation Neural Ordinary Differential Equations,0,0,[],[],False,N/A,"['Muhao Guo', 'Yang Weng']",N/A
Improving Differentiable Neural Architecture Search by Encouraging Transferability,0,0,[],[],False,N/A,"['Parth Sheth', 'Pengtao Xie']",N/A
MA-BERT: Towards Matrix Arithmetic-only BERT Inference by Eliminating Complex Non-Linear Functions,0,0,[],[],False,N/A,"['Neo Wei Ming', 'Zhehui Wang', 'Cheng Liu', 'Rick Siow Mong Goh', 'Tao Luo']",N/A
Automatically Answering and Generating Machine Learning Final Exams,0,0,[],[],False,N/A,"['Sarah Zhang', 'Reece S Shuttleworth', 'Zad Chin', 'Pedro Lantigua', 'Saisamrit Surbehera', 'Gregory Hunter', 'Derek Austin', 'Yann Hicke', 'Leonard Tang', 'Sathwik Karnik', 'Darnell Granberry', 'Iddo Drori']",N/A
CAT: Collaborative Adversarial Training,0,0,[],[],False,N/A,"['xingbin liu', 'Huafeng Kuang', 'Xianming Lin', 'GUANNAN JIANG', 'YONGJIAN WU', 'Xi Wang', 'Rongrong Ji']",N/A
Efficient Certified Training and Robustness Verification of Neural ODEs,0,0,[],[],False,N/A,"['Mustafa Zeqiri', 'Mark Niklas Mueller', 'Marc Fischer', 'Martin Vechev']",N/A
Arbitrary Virtual Try-on Network: Characteristics Representation and Trade-off between Body and Clothing,0,0,[],[],False,N/A,"['Yu Liu', 'Mingbo Zhao', 'Zhao Zhang', 'Jicong Fan', 'Yang Lou', 'Shuicheng YAN']",N/A
A Benchmark Dataset for Learning from Label Proportions,0,0,[],[],False,N/A,"['Anand Paresh Brahmbhatt', 'Mohith Pokala', 'Rishi Saket', 'Aravindan Raghuveer']",N/A
UL2: Unifying Language Learning Paradigms,0,0,[],[],False,N/A,"['Yi Tay', 'Mostafa Dehghani', 'Vinh Q. Tran', 'Xavier Garcia', 'Jason Wei', 'Xuezhi Wang', 'Hyung Won Chung', 'Dara Bahri', 'Tal Schuster', 'Steven Zheng', 'Denny Zhou', 'Neil Houlsby', 'Donald Metzler']",N/A
Emergence of Exploration in Policy Gradient Reinforcement Learning via Resetting,0,0,[],[],False,N/A,"['Sotetsu Koyamada', 'Paavo Parmas', 'Tadashi Kozuno', 'Shin Ishii']",N/A
CASR: Generating Complex Sequences with Autoregressive Self-Boost Refinement,0,0,[],[],False,N/A,"['Hongwei Han', 'Mengyu Zhou', 'Shi Han', 'Xiu Li', 'Dongmei Zhang']",N/A
SciRepEval: A Multi-Format Benchmark for Scientific Document Representations,0,0,[],[],False,N/A,"['Amanpreet Singh', ""Mike D'Arcy"", 'Arman Cohan', 'Doug Downey', 'Sergey Feldman']",N/A
On the convergence of SGD under the over-parameter setting,0,0,[],[],False,N/A,"['ruinan Jin', 'Yiwei Wang', 'Wei Liu', 'Baoxiang Wang']",N/A
MASTER: Multi-task Pre-trained Bottlenecked Masked Autoencoders are Better Dense Retrievers,0,0,[],[],False,N/A,"['Kun Zhou', 'Xiao Liu', 'Yeyun Gong', 'Xin Zhao', 'Daxin Jiang', 'Nan Duan', 'Ji-Rong Wen']",N/A
Bitrate-Constrained DRO: Beyond Worst Case Robustness To Unknown Group Shifts,0,0,[],[],False,N/A,"['Amrith Setlur', 'Don Dennis', 'Benjamin Eysenbach', 'Aditi Raghunathan', 'Chelsea Finn', 'Virginia Smith', 'Sergey Levine']",N/A
Some Practical Concerns and Solutions for Using Pretrained Representation in Industrial Systems,0,0,[],[],False,N/A,['Da Xu'],N/A
Exphormer: Scaling Graph Transformers with Expander Graphs,0,0,[],[],False,N/A,"['Hamed Shirzad', 'Ameya Velingker', 'Balaji Venkatachalam', 'Danica J. Sutherland', 'Ali Kemal Sinop']",N/A
Feature selection and low test error in shallow low-rotation ReLU networks,0,0,[],[],False,N/A,['Matus Telgarsky'],N/A
Backpropagation through Combinatorial Algorithms: Identity with Projection Works,0,0,[],[],False,N/A,"['Subham Sekhar Sahoo', 'Anselm Paulus', 'Marin Vlastelica', 'Vít Musil', 'Volodymyr Kuleshov', 'Georg Martius']",N/A
Coupled Multiwavelet Operator Learning for Coupled Differential Equations,0,0,[],[],False,N/A,"['Xiongye Xiao', 'Defu Cao', 'Ruochen Yang', 'Gaurav Gupta', 'Gengshuo Liu', 'Chenzhong Yin', 'Radu Balan', 'Paul Bogdan']",N/A
Mid-Vision Feedback,0,0,[],[],False,N/A,"['Michael Maynord', 'Eadom T Dessalene', 'Cornelia Fermuller', 'Yiannis Aloimonos']",N/A
Cross-Window Self-Training via Context Variations from Sparsely-Labeled Time Series,0,0,[],[],False,N/A,"['Yooju Shin', 'Susik Yoon', 'Hwanjun Song', 'Jae-Gil Lee', 'Byung Suk Lee']",N/A
Safe Reinforcement Learning From Pixels Using a Stochastic Latent Representation,0,0,[],[],False,N/A,"['Yannick Hogewind', 'Thiago D. Simão', 'Tal Kachman', 'Nils Jansen']",N/A
TrojText: Test-time Invisible Textual Trojan Insertion,0,0,[],[],False,N/A,"['Qian Lou', 'Yepeng Liu', 'Bo Feng']",N/A
An Experiment Design Paradigm using Joint Feature Selection and Task Optimization,0,0,[],[],False,N/A,"['Stefano B Blumberg', 'Hongxiang Lin', 'Yukun Zhou', 'Paddy John Slator', 'Daniel C. Alexander']",N/A
Multi-Objective Online Learning,0,0,[],[],False,N/A,"['Jiyan Jiang', 'Wenpeng Zhang', 'Shiji Zhou', 'Lihong Gu', 'Xiaodong Zeng', 'Wenwu Zhu']",N/A
Improved Training of Physics-Informed Neural Networks Using Energy-Based Priors: a Study on Electrical Impedance Tomography,0,0,[],[],False,N/A,"['Akarsh Pokkunuru', 'Pedram Rooshenas', 'Thilo Strauss', 'Anuj Abhishek', 'Taufiquar Khan']",N/A
Efficient Bayesian Optimization with Deep Kernel Learning and Transformer Pre-trained on Muliple Heterogeneous Datasets,0,0,[],[],False,N/A,"['Wenlong Lyu', 'Shoubo Hu', 'Jie Chuai', 'Zhitang Chen']",N/A
Robustness Guarantees for Adversarially Trained Neural Networks,0,0,[],[],False,N/A,"['Poorya Mianjy', 'Raman Arora']",N/A
Fast-PINN for Complex Geometry: Solving PDEs with Boundary Connectivity Loss,0,0,[],[],False,N/A,"['Jian Cheng Wong', 'Pao-Hsiung Chiu', 'Chin Chun Ooi', 'My Ha Dao', 'Yew-Soon Ong']",N/A
Noise Transforms Feed-Forward Networks into Sparse Coding Networks,0,0,[],[],False,N/A,"['Trenton Bricken', 'Bruno Olshausen', 'Gabriel Kreiman']",N/A
DEFENDING BACKDOOR ATTACKS VIA ROBUSTNESS AGAINST NOISY LABEL,0,0,[],[],False,N/A,"['Boyang Liu', 'Zhuangdi Zhu', 'Yijiang Pang', 'Pang-Ning Tan', 'Jiayu Zhou']",N/A
A Kernel Perspective of Skip Connections in Convolutional Networks,0,0,[],[],False,N/A,"['Daniel Barzilai', 'Amnon Geifman', 'Meirav Galun', 'Ronen Basri']",N/A
Ordered GNN: Ordering Message Passing to Deal with Heterophily and Over-smoothing,0,0,[],[],False,N/A,"['Yunchong Song', 'Chenghu Zhou', 'Xinbing Wang', 'Zhouhan Lin']",N/A
Sparse Distributed Memory is a Continual Learner,0,0,[],[],False,N/A,"['Trenton Bricken', 'Xander Davies', 'Deepak Singh', 'Dmitry Krotov', 'Gabriel Kreiman']",N/A
Optimistic Exploration in Reinforcement Learning Using Symbolic Model Estimates,0,0,[],[],False,N/A,"['Sarath Sreedharan', 'Michael Katz']",N/A
FLIP: A Provable Defense Framework for Backdoor Mitigation in Federated Learning,0,0,[],[],False,N/A,"['Kaiyuan Zhang', 'Guanhong Tao', 'Qiuling Xu', 'Siyuan Cheng', 'Shengwei An', 'Yingqi Liu', 'Shiwei Feng', 'Guangyu Shen', 'Pin-Yu Chen', 'Shiqing Ma', 'Xiangyu Zhang']",N/A
Robust attributions require rethinking robustness metrics,0,0,[],[],False,N/A,"['Sandesh Kamath', 'Amit Deshpande', 'Vineeth N. Balasubramanian']",N/A
GradientMix: A Simple yet Effective Regularization for Large Batch Training,0,0,[],[],False,N/A,"['Jihun Yun', 'Jung Hyun Lee', 'Eunho Yang']",N/A
UniMax: Fairer and More Effective Language Sampling for Large-Scale Multilingual Pretraining,0,0,[],[],False,N/A,"['Hyung Won Chung', 'Xavier Garcia', 'Adam Roberts', 'Yi Tay', 'Orhan Firat', 'Sharan Narang', 'Noah Constant']",N/A
Discrete State-Action Abstraction via the Successor Representation,0,0,[],[],False,N/A,"['Amnon Attali', 'Pedro Cisneros-Velarde', 'Marco Morales', 'Nancy Amato']",N/A
Hyper-parameter Tuning for Fair Classification without Sensitive Attribute Access,0,0,[],[],False,N/A,"['Akshaj Kumar Veldanda', 'Ivan Brugere', 'Sanghamitra Dutta', 'Alan Mishler', 'Siddharth Garg']",N/A
Towards Learning Implicit Symbolic Representation for Visual Reasoning,0,0,[],[],False,N/A,"['Chen Sun', 'Calvin Luo', 'Xingyi Zhou', 'Anurag Arnab', 'Cordelia Schmid']",N/A
GNNInterpreter: A Probabilistic Generative Model-Level Explanation for Graph Neural Networks,0,0,[],[],False,N/A,"['Xiaoqi Wang', 'Han Wei Shen']",N/A
Rethinking Symbolic Regression: Morphology and Adaptability in the Context of Evolutionary Algorithms,0,0,[],[],False,N/A,"['Kei Sen Fong', 'Shelvia Wongso', 'Mehul Motani']",N/A
On Pre-training Language Model for Antibody,0,0,[],[],False,N/A,"['Danqing Wang', 'Fei YE', 'Hao Zhou']",N/A
Challenging Common Assumptions about Catastrophic Forgetting,0,0,[],[],False,N/A,"['Timothee LESORT', 'Oleksiy Ostapenko', 'Pau Rodriguez', 'Md Rifat Arefin', 'Diganta Misra', 'Laurent Charlin', 'Irina Rish']",N/A
Learning to reason over visual objects,0,0,[],[],False,N/A,"['Shanka Subhra Mondal', 'Taylor Whittington Webb', 'Jonathan Cohen']",N/A
Imitating Graph-Based Planning with Goal-Conditioned Policies,0,0,[],[],False,N/A,"['Junsu Kim', 'Younggyo Seo', 'Sungsoo Ahn', 'Kyunghwan Son', 'Jinwoo Shin']",N/A
Prefer to Classify: Improving Text Classifier via Pair-wise Preference Learning,0,0,[],[],False,N/A,"['Jaehyung Kim', 'Jinwoo Shin', 'Dongyeop Kang']",N/A
"Seeing Differently, Acting Similarly: Heterogeneously Observable Imitation Learning",0,0,[],[],False,N/A,"['Xin-Qiang Cai', 'Yao-Xiang Ding', 'Zixuan Chen', 'Yuan Jiang', 'Masashi Sugiyama', 'Zhi-Hua Zhou']",N/A
A theoretical study of inductive biases in contrastive learning,0,0,[],[],False,N/A,"['Jeff Z. HaoChen', 'Tengyu Ma']",N/A
Combinatorial Pure Exploration of Causal Bandits,0,0,[],[],False,N/A,"['Nuoya Xiong', 'Wei Chen']",N/A
How to fine-tune vision models with SGD,0,0,[],[],False,N/A,"['Ananya Kumar', 'Ruoqi Shen', 'Sebastien Bubeck', 'Suriya Gunasekar']",N/A
Computational Language Acquisition with Theory of Mind,0,0,[],[],False,N/A,"['Andy Liu', 'Hao Zhu', 'Emmy Liu', 'Yonatan Bisk', 'Graham Neubig']",N/A
MiDAS: Multi-integrated Domain Adaptive Supervision for Fake News Detection,0,0,[],[],False,N/A,"['Abhijit Suprem', 'Calton Pu']",N/A
Walking the Tightrope: An Investigation of the Convolutional Autoencoder Bottleneck,0,0,[],[],False,N/A,"['Ilja Manakov', 'Markus Rohm', 'Volker Tresp']",N/A
A Closer Look at Model Adaptation using Feature Distortion and Simplicity Bias,0,0,[],[],False,N/A,"['Puja Trivedi', 'Danai Koutra', 'Jayaraman J. Thiagarajan']",N/A
Pareto Invariant Risk Minimization: Towards Mitigating the Optimization Dilemma in Out-of-Distribution Generalization,0,0,[],[],False,N/A,"['Yongqiang Chen', 'Kaiwen Zhou', 'Yatao Bian', 'Binghui Xie', 'Bingzhe Wu', 'Yonggang Zhang', 'MA KAILI', 'Han Yang', 'Peilin Zhao', 'Bo Han', 'James Cheng']",N/A
Understanding and Adopting Rational Behavior by Bellman Score Estimation,0,0,[],[],False,N/A,"['Kuno Kim', 'Stefano Ermon']",N/A
L2B: Learning to Bootstrap for Combating Label Noise,0,0,[],[],False,N/A,"['Yuyin Zhou', 'Xianhang Li', 'Fengze Liu', 'Xuxi Chen', 'Lequan Yu', 'Cihang Xie', 'Matthew P. Lungren', 'Lei Xing']",N/A
What Makes Convolutional Models Great on Long Sequence Modeling?,0,0,[],[],False,N/A,"['Yuhong Li', 'Tianle Cai', 'Yi Zhang', 'Deming Chen', 'Debadeepta Dey']",N/A
Progressive Mixup Augmented Teacher-Student Learning for Unsupervised Domain Adaptation,0,0,[],[],False,N/A,"['Aotian Zheng', 'Jie Mei', 'Farron Wallace', 'Craig Rose', 'Rania Hussein', 'Jenq-Neng Hwang']",N/A
M$^3$SAT: A Sparsely Activated Transformer for Efficient Multi-Task Learning from Multiple Modalities,0,0,[],[],False,N/A,"['Jie Peng', 'Tianlong Chen', 'Ruida Zhou', 'Jianmin Ji', 'Yanyong Zhang', 'Zhangyang Wang']",N/A
Editing models with task arithmetic,0,0,[],[],False,N/A,"['Gabriel Ilharco', 'Marco Tulio Ribeiro', 'Mitchell Wortsman', 'Ludwig Schmidt', 'Hannaneh Hajishirzi', 'Ali Farhadi']",N/A
Neural Systematic Binder,0,0,[],[],False,N/A,"['Gautam Singh', 'Yeongbin Kim', 'Sungjin Ahn']",N/A
Training-Free Structured Diffusion Guidance for Compositional Text-to-Image Synthesis,0,0,[],[],False,N/A,"['Weixi Feng', 'Xuehai He', 'Tsu-Jui Fu', 'Varun Jampani', 'Arjun Reddy Akula', 'Pradyumna Narayana', 'Sugato Basu', 'Xin Eric Wang', 'William Yang Wang']",N/A
Atomized Deep Learning Models,0,0,[],[],False,N/A,"['Yi-Lin Tuan', 'Zih-Yun Chiu', 'William Yang Wang']",N/A
Topology Matters in Fair Graph Learning: a Theoretical Pilot Study,0,0,[],[],False,N/A,"['Zhimeng Jiang', 'Xiaotian Han', 'Chao Fan', 'Zirui Liu', 'Xiao Huang', 'Na Zou', 'Ali Mostafavi', 'Xia Hu']",N/A
Context-Aware Image Completion,0,0,[],[],False,N/A,"['Jinoh Cho', 'Minguk Kang', 'Vibhav Vineet', 'Jaesik Park']",N/A
Can Agents Run Relay Race with Strangers? Generalization of RL to Out-of-Distribution Trajectories,0,0,[],[],False,N/A,"['Li-Cheng Lan', 'Huan Zhang', 'Cho-Jui Hsieh']",N/A
DYNAMIC BATCH NORM STATISTICS UPDATE FOR NATURAL ROBUSTNESS,0,0,[],[],False,N/A,"['Shahbaz Rezaei', 'Mohammad Sadegh Norouzzadeh']",N/A
SKTformer: A Skeleton Transformer for Long Sequence Data,0,0,[],[],False,N/A,"['xue wang', 'Tian Zhou', 'Jianqing Zhu', 'Jialin Liu', 'Kun Yuan', 'Tao Yao', 'Wotao Yin', 'Rong Jin', 'HanQin Cai']",N/A
CktGNN:  Circuit Graph Neural Network for Electronic Design Automation,0,0,[],[],False,N/A,"['Zehao Dong', 'Weidong Cao', 'Muhan Zhang', 'Dacheng Tao', 'Yixin Chen', 'Xuan Zhang']",N/A
Substructure-Atom Cross Attention for Molecular Representation Learning,0,0,[],[],False,N/A,"['Jiye Kim', 'Seungbeom Lee', 'Dongwoo Kim', 'Sungsoo Ahn', 'Jaesik Park']",N/A
Differentially Private Algorithms for Smooth Nonconvex ERM,0,0,[],[],False,N/A,"['Changyu Gao', 'Stephen Wright']",N/A
Untangling Effect and Side Effect: Consistent Causal Inference in Non-Targeted Trials,0,0,[],[],False,N/A,"['Georgios Mavroudeas', 'Malik Magdon-Ismail', 'Kristin Bennett', 'Jason Kuruzovich']",N/A
STUNT: Few-shot Tabular Learning with Self-generated Tasks from Unlabeled Tables,0,0,[],[],False,N/A,"['Jaehyun Nam', 'Jihoon Tack', 'Kyungmin Lee', 'Hankook Lee', 'Jinwoo Shin']",N/A
The Role of Pre-training Data in Transfer Learning,0,0,[],[],False,N/A,"['Rahim Entezari', 'Mitchell Wortsman', 'Olga Saukh', 'M. Moein Shariatnia', 'Hanie Sedghi', 'Ludwig Schmidt']",N/A
Compressed Predictive Information Coding,0,0,[],[],False,N/A,"['Rui Meng', 'Tianyi Luo', 'Kristofer Bouchard']",N/A
Importance of Class Selectivity in Early Epochs of Training,0,0,[],[],False,N/A,"['Omkar Ranadive', 'Nikhil Thakurdesai', 'Matthew L Leavitt', 'Stephane Deny']",N/A
Mechanistic Mode Connectivity,0,0,[],[],False,N/A,"['Ekdeep Singh Lubana', 'Eric J Bigelow', 'Robert P. Dick', 'David Krueger', 'Hidenori Tanaka']",N/A
WebBrain: Learning to Generate Factually Correct Articles for Queries by Grounding on Large Web Corpus,0,0,[],[],False,N/A,"['Hongjin Qian', 'Yutao Zhu', 'Zhicheng Dou', 'Haoqi Gu', 'Xinyu Zhang', 'Zheng Liu', 'Ruofei Lai', 'Zhao Cao', 'Jian-Yun Nie', 'Ji-Rong Wen']",N/A
HloEnv: A Graph Rewrite Environment for Deep Learning Compiler Optimization Research,0,0,[],[],False,N/A,"['Chin Yang Oh', 'Kunhao Zheng', 'Bingyi Kang', 'Xinyi Wan', 'Zhongwen Xu', 'Shuicheng YAN', 'Min Lin', 'Yangzihao Wang']",N/A
Deep Latent State Space Models for Time-Series Generation,0,0,[],[],False,N/A,"['Linqi Zhou', 'Michael Poli', 'Winnie Xu', 'Stefano Massaroli', 'Stefano Ermon']",N/A
Specformer: Spectral Graph Neural Networks Meet Transformers,0,0,[],[],False,N/A,"['Deyu Bo', 'Chuan Shi', 'Lele Wang', 'Renjie Liao']",N/A
MetaP: How to Transfer Your Knowledge on Learning Hidden Physics,0,0,[],[],False,N/A,"['Lu Zhang', 'Huaiqian You', 'Tian Gao', 'Mo Yu', 'Chung-Hao Lee', 'Yue Yu']",N/A
CommsVAE: Learning the brain's macroscale communication dynamics using coupled sequential VAEs,0,0,[],[],False,N/A,"['Eloy Geenjaar', 'Noah Lewis', 'Amrit Kashyap', 'Robyn Miller', 'Vince Calhoun']",N/A
Answer Me if You Can: Debiasing Video Question Answering via Answering Unanswerable Questions,0,0,[],[],False,N/A,"['Dohwan Ko', 'Heeji Won', 'Jongha Kim', 'Miso CHOI', 'Byungseok Roh', 'Hyunwoo J. Kim']",N/A
Language Models Are Greedy Reasoners: A Systematic Formal Analysis of Chain-of-Thought,0,0,[],[],False,N/A,"['Abulhair Saparov', 'He He']",N/A
Approximation ability of Transformer networks for functions with various smoothness of Besov spaces: error analysis and token extraction,0,0,[],[],False,N/A,"['Yuki Wada', 'Shokichi Takakura', 'Taiji Suzuki']",N/A
"Clustering Embedding Tables, Without First Learning Them",0,0,[],[],False,N/A,"['Henry Ling-Hei Tsang', 'Thomas Dybdahl Ahle']",N/A
Architecture Matters in Continual Learning,0,0,[],[],False,N/A,"['Seyed Iman Mirzadeh', 'Arslan Chaudhry', 'Dong Yin', 'Timothy Nguyen', 'Razvan Pascanu', 'Dilan Gorur', 'Mehrdad Farajtabar']",N/A
Machine Learning Force Fields with Data Cost Aware Training,0,0,[],[],False,N/A,"['Alexander Bukharin', 'Tianyi Liu', 'Shengjie Wang', 'Simiao Zuo', 'Weihao Gao', 'Wen Yan', 'Tuo Zhao']",N/A
Covariance Matrix Adaptation MAP-Annealing,0,0,[],[],False,N/A,"['Matthew Christopher Fontaine', 'Stefanos Nikolaidis']",N/A
Learning Rewards and Skills to Follow Commands with a Data Efficient Visual-Audio Representation,0,0,[],[],False,N/A,"['Peixin Chang', 'Shuijing Liu', 'Tianchen Ji', 'Neeloy Chakraborty', 'D Livingston McPherson', 'Katherine Rose Driggs-Campbell']",N/A
